event_id,nearest_facility_distance_m,nearest_facility_type,facilities_within_radius
1283,,,0
1284,,,0
1285,,,0
1286,,,0
1287,,,0
1288,,,0
1289,3126.19966126,industrial_area,5
1290,1741.25056185,industrial_area,10
1291,,,0
1292,,,0
1293,,,0
1294,,,0
1295,,,0
1296,,,0
1297,4328.88671146,industrial_works,1
1298,1393.64341957,industrial_area,1
1299,,,0
1300,2519.83132939,industrial_works,1
1301,,,0
1302,,,0
1303,,,0
1304,,,0
1305,,,0
1306,,,0
1307,,,0
1308,,,0
1309,,,0
1310,,,0
1311,,,0
1312,,,0
1313,,,0
1314,,,0
1315,3825.19382439,industrial_works,1
1316,,,0
1317,,,0
1318,,,0
1319,,,0
1320,,,0
1321,,,0
1322,,,0
1323,,,0
1324,,,0
1325,,,0
1326,,,0
1327,4297.15959283,industrial_area,1
1328,4014.84986818,industrial_area,1
1329,4409.73116113,power_plant,1
1330,3895.39199363,industrial_area,1
1331,,,0
1332,3887.6121102,industrial_area,1
1333,,,0
1334,3520.71515348,industrial_area,2
1335,1711.26283412,industrial_area,6
1336,3838.12054756,industrial_area,2
1337,,,0
1338,,,0
1339,,,0
1340,,,0
1341,,,0
1342,2151.73260615,industrial_area,1
1343,,,0
1344,,,0
1345,,,0
1346,,,0
1347,,,0
1348,4675.80881512,industrial_area,1
1349,2478.04891873,industrial_works,2
1350,2094.78414335,industrial_works,2
1351,1155.46747913,power_plant,5
1352,,,0
1353,,,0
1354,,,0
1355,,,0
1356,3208.68536707,industrial_area,1
1357,,,0
1358,,,0
1359,,,0
1360,,,0
1361,1556.22883256,power_plant,5
1362,,,0
1363,,,0
1364,,,0
1365,,,0
1366,3307.28301918,industrial_works,1
1367,3522.55896007,industrial_works,1
1368,,,0
1369,,,0
1370,,,0
1371,,,0
1372,,,0
1373,,,0
1374,,,0
1375,,,0
1376,3899.90227008,industrial_area,4
1377,,,0
1378,,,0
1379,3609.35946664,industrial_area,4
1380,,,0
1381,,,0
1382,1274.53025746,industrial_works,1
1383,,,0
1384,1120.27203306,industrial_works,7
1385,1213.81451234,power_plant,6
1386,107.16027889,industrial_works,5
1387,,,0
1388,,,0
1389,,,0
1390,,,0
1391,,,0
1392,,,0
1393,,,0
1394,,,0
1395,,,0
1396,,,0
1397,,,0
1398,,,0
1399,,,0
1400,,,0
1401,,,0
1402,,,0
1403,,,0
1404,,,0
1405,,,0
1406,,,0
1407,,,0
1408,,,0
1409,,,0
1410,,,0
1411,,,0
1412,409.92950536,power_plant,2
1413,1268.1981802,industrial_area,1
1414,489.09116503,power_plant,1
1415,151.55914198,power_plant,2
1416,685.95915235,power_plant,2
1417,,,0
1418,3456.10892097,industrial_works,3
1419,1466.98515054,industrial_area,15
1420,,,0
1421,,,0
1422,,,0
1423,,,0
1424,,,0
1425,436.39538705,industrial_area,1
1426,,,0
1427,,,0
1428,,,0
1429,,,0
1430,802.94645453,industrial_area,3
1431,687.20287752,power_plant,2
1432,838.44407207,power_plant,2
1433,618.06809572,power_plant,2
1434,248.00511545,power_plant,2
1435,713.75842953,power_plant,2
1436,855.85710442,power_plant,2
1437,775.89107904,power_plant,2
1438,926.95967191,power_plant,2
1439,590.09792708,power_plant,2
1440,,,0
1441,,,0
1442,,,0
1443,,,0
1444,,,0
1445,,,0
1446,,,0
1447,,,0
1448,779.88853903,industrial_area,5
1449,,,0
1450,,,0
1451,276.00892831,power_plant,2
1452,4313.57302372,industrial_works,1
1453,4657.15321025,industrial_works,1
1454,,,0
1455,,,0
1456,307.01703565,industrial_area,3
1457,,,0
1458,328.29570819,industrial_area,29
1459,1124.63765821,industrial_area,39
1460,1439.05084532,industrial_area,18
1461,1577.35794341,industrial_area,11
1462,673.47844448,industrial_area,8
1463,1055.25864261,industrial_area,8
1464,708.453018,power_plant,2
1465,477.42971007,power_plant,2
1466,,,0
1467,,,0
1468,,,0
1469,,,0
1470,,,0
1471,,,0
1472,,,0
1473,,,0
1474,,,0
1475,,,0
1476,,,0
